add-yield-none,8,40,640,423743,662,39
add-yield-none,12,40,960,576070,600,113
add-yield-none,2,80,320,328347,1026,0
add-yield-none,4,80,640,405640,633,60
add-yield-none,8,80,1280,512516,400,80
add-yield-none,12,80,1920,619865,322,91
add-yield-none,2,100,400,402597,1006,3
add-yield-none,4,100,800,415242,519,27
add-yield-none,8,100,1600,547454,342,108
add-yield-none,12,100,2400,642603,267,145
add-yield-none,2,1000,4000,2082282,520,0
add-yield-none,4,1000,8000,2182881,272,45
add-yield-none,8,1000,16000,2371307,148,118
add-yield-none,12,1000,24000,2877634,119,186
add-yield-none,2,10000,40000,18729044,468,-65
add-yield-none,4,10000,80000,19631920,245,52
add-yield-none,8,10000,160000,20411419,127,-335
add-yield-none,12,10000,240000,26104618,108,177
add-yield-none,2,100000,400000,180588286,451,-162
add-yield-none,4,100000,800000,193277338,241,-4285
add-yield-none,8,100000,1600000,204454100,127,357
add-yield-none,12,100000,2400000,248566089,103,2202
add-none,1,100,200,207241,1036,0
add-none,1,1000,2000,229128,114,0
add-none,1,10000,20000,271041,13,0
add-none,1,100000,200000,1585396,7,0
add-none,1,1000000,2000000,13905387,6,0
add-none,2,100,400,184403,461,0
add-none,2,1000,4000,221492,55,0
add-none,2,10000,40000,631031,15,-4168
add-none,2,100000,400000,4667465,11,-25653
add-none,2,1000000,4000000,46202393,11,-212516
add-none,4,100,800,238658,298,-58
add-none,4,1000,8000,237579,29,876
add-none,4,10000,80000,1225614,15,-1866
add-none,4,100000,800000,10251211,12,-18829
add-none,4,1000000,8000000,98637374,12,-379023
add-yield-none,1,100,200,469019,2345,0
add-yield-none,1,1000,2000,1726625,863,0
add-yield-none,1,10000,20000,15815172,790,0
add-yield-none,1,100000,200000,158512261,792,0
add-yield-none,1,1000000,2000000,1512854476,756,0
add-yield-none,2,100,400,388428,971,2
add-yield-none,2,1000,4000,2070168,517,0
add-yield-none,2,10000,40000,18908418,472,-16
add-yield-none,2,100000,400000,179460279,448,-2160
add-yield-none,2,1000000,4000000,1816072832,454,-1840
add-yield-none,4,100,800,457332,571,53
add-yield-none,4,1000,8000,2195559,274,36
add-yield-none,4,10000,80000,19846391,248,77
add-yield-none,4,100000,800000,190824320,238,-7054
add-yield-none,4,1000000,8000000,1911002046,238,-55334
add-yield-m,2,10000,40000,51424344,1285,0
add-yield-m,4,10000,80000,133017488,1662,0
add-yield-m,8,10000,160000,280030385,1750,0
add-yield-m,12,10000,240000,419566947,1748,0
add-yield-c,2,10000,40000,1481927,37,0
add-yield-c,4,10000,80000,5015206,62,0
add-yield-c,8,10000,160000,13975976,87,0
add-yield-c,12,10000,240000,21719897,90,0
add-yield-s,2,10000,40000,35487708,887,0
add-yield-s,4,10000,80000,83668777,1045,0
add-yield-s,8,1000,16000,21083390,1317,0
add-yield-s,12,1000,24000,30936472,1289,0
add-m,1,10000,20000,744191,37,0
add-m,2,10000,40000,3007034,75,0
add-m,4,10000,80000,9836342,122,0
add-m,8,10000,160000,21216984,132,0
add-m,12,10000,240000,34706844,144,0
add-c,1,10000,20000,574047,28,0
add-c,2,10000,40000,2947910,73,0
add-c,4,10000,80000,7387739,92,0
add-c,8,10000,160000,13548009,84,0
add-c,12,10000,240000,18146866,75,0
add-s,1,10000,20000,416525,20,0
add-s,2,10000,40000,2144506,53,0
add-s,4,10000,80000,8364762,104,0
add-s,8,10000,160000,40058523,250,0
add-s,12,10000,240000,84349071,351,0
add-none,2,100,400,203133,507,0
add-none,2,1000,4000,251698,62,-38
add-none,2,10000,40000,713157,17,1431
add-none,2,100000,400000,5210638,13,-9245
add-none,4,100,800,236086,295,0
add-none,4,1000,8000,263771,32,-787
add-none,4,10000,80000,1287139,16,-138
add-none,4,100000,800000,9603987,12,-15308
add-none,8,100,1600,369879,231,-2
add-none,8,1000,16000,471800,29,-46
add-none,8,10000,160000,2251082,14,1312
add-none,8,100000,1600000,23906416,14,-56973
add-none,12,100,2400,484645,201,17
add-none,12,1000,24000,525667,21,-95
add-none,12,10000,240000,3587151,14,1442
add-none,12,100000,2400000,34675992,14,-18456
add-yield-none,2,10,40,216127,5403,1
add-yield-none,4,10,80,249914,3123,1
add-yield-none,8,10,160,341895,2136,30
add-yield-none,12,10,240,465891,1941,13
add-yield-none,2,20,80,247551,3094,0
add-yield-none,4,20,160,255712,1598,35
add-yield-none,8,20,320,338600,1058,26
add-yield-none,12,20,480,512427,1067,65
add-yield-none,2,40,160,251400,1571,20
add-yield-none,4,40,320,304344,951,0
add-yield-none,8,40,640,415454,649,92
add-yield-none,12,40,960,530008,552,94
add-yield-none,2,80,320,338984,1059,35
add-yield-none,4,80,640,346043,540,47
add-yield-none,8,80,1280,455194,355,114
add-yield-none,12,80,1920,571690,297,142
add-yield-none,2,100,400,332404,831,12
add-yield-none,4,100,800,401947,502,45
add-yield-none,8,100,1600,474115,296,138
add-yield-none,12,100,2400,625850,260,73
add-yield-none,2,1000,4000,2032088,508,-52
add-yield-none,4,1000,8000,2134907,266,30
add-yield-none,8,1000,16000,2395260,149,73
add-yield-none,12,1000,24000,2833282,118,158
add-yield-none,2,10000,40000,18308555,457,38
add-yield-none,4,10000,80000,19226007,240,-143
add-yield-none,8,10000,160000,21115181,131,388
add-yield-none,12,10000,240000,25024439,104,28
add-yield-none,2,100000,400000,176335162,440,-1058
add-yield-none,4,100000,800000,189659640,237,-7878
add-yield-none,8,100000,1600000,202220994,126,412
add-yield-none,12,100000,2400000,248360701,103,2432
add-none,1,100,200,210965,1054,0
add-none,1,1000,2000,169108,84,0
add-none,1,10000,20000,356224,17,0
add-none,1,100000,200000,1612323,8,0
add-none,1,1000000,2000000,14196393,7,0
add-none,2,100,400,185026,462,0
add-none,2,1000,4000,167634,41,0
add-none,2,10000,40000,617621,15,-1321
add-none,2,100000,400000,4651336,11,-8168
add-none,2,1000000,4000000,49766678,12,-126331
add-none,4,100,800,250967,313,57
add-none,4,1000,8000,233387,29,681
add-none,4,10000,80000,1324793,16,-4554
add-none,4,100000,800000,11323613,14,-33157
add-none,4,1000000,8000000,99024566,12,-325212
add-yield-none,1,100,200,360772,1803,0
add-yield-none,1,1000,2000,1808113,904,0
add-yield-none,1,10000,20000,16089077,804,0
add-yield-none,1,100000,200000,156894960,784,0
add-yield-none,1,1000000,2000000,1577541839,788,0
add-yield-none,2,100,400,379560,948,0
add-yield-none,2,1000,4000,2121441,530,0
add-yield-none,2,10000,40000,19105570,477,-21
add-yield-none,2,100000,400000,189770445,474,-2355
add-yield-none,2,1000000,4000000,1825685297,456,-98
add-yield-none,4,100,800,433219,541,53
add-yield-none,4,1000,8000,2183003,272,-19
add-yield-none,4,10000,80000,19067192,238,0
add-yield-none,4,100000,800000,189263200,236,-4260
add-yield-none,4,1000000,8000000,1906052910,238,-16216
add-yield-m,2,10000,40000,49075475,1226,0
add-yield-m,4,10000,80000,130200451,1627,0
add-yield-m,8,10000,160000,281632775,1760,0
add-yield-m,12,10000,240000,434493114,1810,0
add-yield-c,2,10000,40000,1972557,49,0
add-yield-c,4,10000,80000,5487477,68,0
add-yield-c,8,10000,160000,14127414,88,0
add-yield-c,12,10000,240000,21039454,87,0
add-yield-s,2,10000,40000,34958854,873,0
add-yield-s,4,10000,80000,76882963,961,0
add-yield-s,8,1000,16000,20599304,1287,0
add-yield-s,12,1000,24000,35149794,1464,0
add-m,1,10000,20000,822090,41,0
add-m,2,10000,40000,3184537,79,0
add-m,4,10000,80000,11115377,138,0
add-m,8,10000,160000,24077534,150,0
add-m,12,10000,240000,35445598,147,0
add-c,1,10000,20000,516121,25,0
add-c,2,10000,40000,2004548,50,0
add-c,4,10000,80000,5257436,65,0
add-c,8,10000,160000,11714084,73,0
add-c,12,10000,240000,19002984,79,0
add-s,1,10000,20000,425417,21,0
add-s,2,10000,40000,1956569,48,0
add-s,4,10000,80000,9877497,123,0
add-s,8,10000,160000,32364935,202,0
add-s,12,10000,240000,88274926,367,0
